true_intent \ predicted_intent,ADMISSIONS,COURSES,DEPARTMENTS,ACADEMICS,FACILITIES,ROOM_LOCATION,DEPARTMENT_LOCATION,LABORATORY_LOCATION,VIRTUAL_TOUR,CAMPUS_INFO,GENERAL,UNKNOWN
ADMISSIONS,1,1,0,0,1,0,0,0,1,1,0,0
COURSES,0,2,1,1,0,0,0,0,0,0,0,0
DEPARTMENTS,0,0,2,0,0,0,0,0,0,0,0,0
ACADEMICS,0,0,0,2,0,0,0,0,0,0,0,0
FACILITIES,0,0,0,0,3,0,0,0,0,0,0,0
ROOM_LOCATION,0,0,0,0,1,6,0,0,0,0,0,0
DEPARTMENT_LOCATION,0,0,0,0,0,0,1,0,0,0,0,0
LABORATORY_LOCATION,0,0,0,0,0,0,3,0,0,0,0,0
VIRTUAL_TOUR,0,0,0,0,0,0,0,0,1,0,0,1
CAMPUS_INFO,0,1,0,0,0,0,0,0,0,0,0,0
GENERAL,0,1,0,0,0,0,0,0,0,0,0,0
UNKNOWN,0,0,0,0,0,0,0,0,1,2,0,0
